*** NEC ADMITTANCE FILE
 Fan antenna impedance.  Symbols a 1 Mhz increments                                                                    
            F (MHz)        ZR          ZI
     507  3.77184E+00 4.06450E-04 1.35939E-02
     508  3.77534E+00 4.09873E-04 1.36453E-02
     509  3.77884E+00 4.13331E-04 1.36970E-02
     510  3.78234E+00 4.16824E-04 1.37491E-02
     511  3.78584E+00 4.20353E-04 1.38016E-02
     512  3.78935E+00 4.23922E-04 1.38545E-02
     513  3.79285E+00 4.27525E-04 1.39077E-02
     514  3.79635E+00 4.31168E-04 1.39613E-02
     515  3.79985E+00 4.34849E-04 1.40153E-02
     516  3.80335E+00 4.38571E-04 1.40697E-02
     517  3.80685E+00 4.42334E-04 1.41245E-02
     518  3.81035E+00 4.46131E-04 1.41796E-02
     519  3.81386E+00 4.49972E-04 1.42352E-02
     520  3.81736E+00 4.53857E-04 1.42912E-02
     521  3.82086E+00 4.57784E-04 1.43476E-02
     522  3.82436E+00 4.61746E-04 1.44043E-02
     523  3.82786E+00 4.65758E-04 1.44616E-02
     524  3.83136E+00 4.69812E-04 1.45192E-02
     525  3.83487E+00 4.73909E-04 1.45773E-02
     526  3.83837E+00 4.78055E-04 1.46358E-02
     527  3.84187E+00 4.82240E-04 1.46947E-02
     528  3.84537E+00 4.86483E-04 1.47541E-02
     529  3.84887E+00 4.90766E-04 1.48140E-02
     530  3.85237E+00 4.95098E-04 1.48743E-02
     531  3.85588E+00 4.99476E-04 1.49350E-02
     532  3.85938E+00 5.03902E-04 1.49963E-02
     533  3.86288E+00 5.08381E-04 1.50580E-02
     534  3.86638E+00 5.12915E-04 1.51202E-02
     535  3.86988E+00 5.17498E-04 1.51828E-02
     536  3.87338E+00 5.22127E-04 1.52460E-02
     537  3.87689E+00 5.26811E-04 1.53096E-02
     538  3.88039E+00 5.31552E-04 1.53738E-02
     539  3.88389E+00 5.36352E-04 1.54384E-02
     540  3.88739E+00 5.41207E-04 1.55036E-02
     541  3.89089E+00 5.46112E-04 1.55693E-02
     542  3.89439E+00 5.51081E-04 1.56356E-02
     543  3.89790E+00 5.56105E-04 1.57023E-02
     544  3.90140E+00 5.61186E-04 1.57696E-02
     545  3.90490E+00 5.66328E-04 1.58375E-02
     546  3.90840E+00 5.71531E-04 1.59059E-02
     547  3.91190E+00 5.76803E-04 1.59749E-02
     548  3.91540E+00 5.82127E-04 1.60444E-02
     549  3.91891E+00 5.87526E-04 1.61145E-02
     550  3.92241E+00 5.92984E-04 1.61852E-02
     551  3.92591E+00 5.98507E-04 1.62565E-02
     552  3.92941E+00 6.04096E-04 1.63284E-02
     553  3.93291E+00 6.09761E-04 1.64010E-02
     554  3.93641E+00 6.15491E-04 1.64741E-02
     555  3.93992E+00 6.21292E-04 1.65478E-02
     556  3.94342E+00 6.27166E-04 1.66222E-02
     557  3.94692E+00 6.33114E-04 1.66973E-02
     558  3.95042E+00 6.39136E-04 1.67730E-02
     559  3.95392E+00 6.45232E-04 1.68493E-02
     560  3.95742E+00 6.51414E-04 1.69263E-02
     561  3.96093E+00 6.57661E-04 1.70040E-02
     562  3.96443E+00 6.63997E-04 1.70824E-02
     563  3.96793E+00 6.70409E-04 1.71615E-02
     564  3.97143E+00 6.76907E-04 1.72413E-02
     565  3.97493E+00 6.83485E-04 1.73218E-02
     566  3.97843E+00 6.90156E-04 1.74030E-02
     567  3.98194E+00 6.96903E-04 1.74850E-02
     568  3.98544E+00 7.03753E-04 1.75677E-02
     569  3.98894E+00 7.10682E-04 1.76512E-02
     570  3.99244E+00 7.17703E-04 1.77354E-02
     571  3.99594E+00 7.24821E-04 1.78204E-02
     572  3.99944E+00 7.32030E-04 1.79063E-02 1
     573  4.00295E+00 7.39332E-04 1.79928E-02
     574  4.00645E+00 7.46740E-04 1.80803E-02
     575  4.00995E+00 7.54241E-04 1.81686E-02
     576  4.01345E+00 7.61840E-04 1.82577E-02
     577  4.01695E+00 7.69560E-04 1.83477E-02
     578  4.02046E+00 7.77376E-04 1.84385E-02
     579  4.02396E+00 7.85297E-04 1.85302E-02
     580  4.02746E+00 7.93326E-04 1.86228E-02
     581  4.03096E+00 8.01471E-04 1.87163E-02
     582  4.03446E+00 8.09732E-04 1.88107E-02
     583  4.03796E+00 8.18109E-04 1.89061E-02
     584  4.04147E+00 8.26597E-04 1.90024E-02
     585  4.04497E+00 8.35211E-04 1.90997E-02
     586  4.04847E+00 8.43964E-04 1.91980E-02
     587  4.05197E+00 8.52829E-04 1.92972E-02
     588  4.05547E+00 8.61827E-04 1.93975E-02
     589  4.05898E+00 8.70951E-04 1.94987E-02
     590  4.06248E+00 8.80222E-04 1.96011E-02
     591  4.06598E+00 8.89625E-04 1.97044E-02
     592  4.06948E+00 8.99165E-04 1.98089E-02
     593  4.07298E+00 9.08846E-04 1.99145E-02
     594  4.07649E+00 9.18672E-04 2.00211E-02
     595  4.07999E+00 9.28649E-04 2.01289E-02
     596  4.08349E+00 9.38790E-04 2.02379E-02
     597  4.08699E+00 9.49065E-04 2.03480E-02
     598  4.09049E+00 9.59499E-04 2.04592E-02
     599  4.09400E+00 9.70108E-04 2.05717E-02
     600  4.09750E+00 9.80889E-04 2.06855E-02
     601  4.10100E+00 9.91825E-04 2.08004E-02
     602  4.10450E+00 1.00293E-03 2.09167E-02
     603  4.10800E+00 1.01422E-03 2.10342E-02
     604  4.11150E+00 1.02569E-03 2.11531E-02
     605  4.11501E+00 1.03734E-03 2.12732E-02
     606  4.11851E+00 1.04919E-03 2.13948E-02
     607  4.12201E+00 1.06121E-03 2.15177E-02
     608  4.12551E+00 1.07345E-03 2.16420E-02
     609  4.12901E+00 1.08588E-03 2.17678E-02
     610  4.13252E+00 1.09853E-03 2.18950E-02
     611  4.13602E+00 1.11137E-03 2.20237E-02
     612  4.13952E+00 1.12443E-03 2.21539E-02
     613  4.14302E+00 1.13773E-03 2.22857E-02
     614  4.14652E+00 1.15124E-03 2.24190E-02
     615  4.15003E+00 1.16498E-03 2.25539E-02
     616  4.15353E+00 1.17897E-03 2.26905E-02
     617  4.15703E+00 1.19319E-03 2.28287E-02
     618  4.16053E+00 1.20766E-03 2.29686E-02
     619  4.16403E+00 1.22239E-03 2.31102E-02
     620  4.16753E+00 1.23740E-03 2.32536E-02
     621  4.17104E+00 1.25266E-03 2.33987E-02
     622  4.17454E+00 1.26818E-03 2.35457E-02
     623  4.17804E+00 1.28402E-03 2.36945E-02
     624  4.18154E+00 1.30009E-03 2.38452E-02
     625  4.18504E+00 1.31650E-03 2.39979E-02
     626  4.18855E+00 1.33322E-03 2.41525E-02
     627  4.19205E+00 1.35024E-03 2.43091E-02
     628  4.19555E+00 1.36756E-03 2.44678E-02
     629  4.19905E+00 1.38523E-03 2.46286E-02
     630  4.20255E+00 1.40321E-03 2.47914E-02
     631  4.20606E+00 1.42156E-03 2.49565E-02
     632  4.20956E+00 1.44027E-03 2.51238E-02
     633  4.21306E+00 1.45932E-03 2.52933E-02
     634  4.21656E+00 1.47878E-03 2.54652E-02
     635  4.22006E+00 1.49858E-03 2.56394E-02
     636  4.22357E+00 1.51881E-03 2.58161E-02
     637  4.22707E+00 1.53945E-03 2.59952E-02
     638  4.23057E+00 1.56049E-03 2.61768E-02
     639  4.23407E+00 1.58198E-03 2.63611E-02
     640  4.23757E+00 1.60390E-03 2.65479E-02
     641  4.24107E+00 1.62628E-03 2.67374E-02
     642  4.24458E+00 1.64911E-03 2.69296E-02
     643  4.24808E+00 1.67242E-03 2.71247E-02
     644  4.25158E+00 1.69626E-03 2.73227E-02
     645  4.25508E+00 1.72060E-03 2.75236E-02
     646  4.25858E+00 1.74547E-03 2.77275E-02
     647  4.26209E+00 1.77086E-03 2.79344E-02
     648  4.26559E+00 1.79683E-03 2.81445E-02
     649  4.26909E+00 1.82336E-03 2.83578E-02
     650  4.27259E+00 1.85051E-03 2.85744E-02
     651  4.27609E+00 1.87827E-03 2.87944E-02
     652  4.27960E+00 1.90665E-03 2.90179E-02
     653  4.28310E+00 1.93569E-03 2.92449E-02
     654  4.28660E+00 1.96540E-03 2.94754E-02
     655  4.29010E+00 1.99581E-03 2.97098E-02
     656  4.29360E+00 2.02691E-03 2.99479E-02
     657  4.29710E+00 2.05878E-03 3.01899E-02
     658  4.30061E+00 2.09143E-03 3.04359E-02
     659  4.30411E+00 2.12485E-03 3.06860E-02
     660  4.30761E+00 2.15909E-03 3.09403E-02
     661  4.31111E+00 2.19420E-03 3.11990E-02
     662  4.31461E+00 2.23018E-03 3.14620E-02
     663  4.31812E+00 2.26704E-03 3.17296E-02
     664  4.32162E+00 2.30487E-03 3.20018E-02
     665  4.32512E+00 2.34369E-03 3.22789E-02
     666  4.32862E+00 2.38347E-03 3.25608E-02
     667  4.33212E+00 2.42434E-03 3.28478E-02
     668  4.33563E+00 2.46626E-03 3.31400E-02
     669  4.33913E+00 2.50932E-03 3.34375E-02
     670  4.34263E+00 2.55352E-03 3.37404E-02
     671  4.34613E+00 2.59893E-03 3.40491E-02
     672  4.34963E+00 2.64566E-03 3.43635E-02
     673  4.35314E+00 2.69363E-03 3.46839E-02
     674  4.35664E+00 2.74299E-03 3.50104E-02
     675  4.36014E+00 2.79374E-03 3.53432E-02
     676  4.36364E+00 2.84594E-03 3.56826E-02
     677  4.36714E+00 2.89972E-03 3.60286E-02
     678  4.37064E+00 2.95503E-03 3.63816E-02
     679  4.37415E+00 3.01197E-03 3.67415E-02
     680  4.37765E+00 3.07064E-03 3.71089E-02
     681  4.38115E+00 3.13113E-03 3.74838E-02
     682  4.38465E+00 3.19351E-03 3.78666E-02
     683  4.38815E+00 3.25773E-03 3.82573E-02
     684  4.39166E+00 3.32409E-03 3.86563E-02
     685  4.39516E+00 3.39252E-03 3.90640E-02
     686  4.39866E+00 3.46309E-03 3.94804E-02
     687  4.40216E+00 3.53609E-03 3.99060E-02
     688  4.40566E+00 3.61147E-03 4.03411E-02
     689  4.40917E+00 3.68932E-03 4.07858E-02
     690  4.41267E+00 3.76984E-03 4.12408E-02
     691  4.41617E+00 3.85307E-03 4.17061E-02
     692  4.41967E+00 3.93925E-03 4.21823E-02
     693  4.42317E+00 4.02853E-03 4.26697E-02
     694  4.42667E+00 4.12091E-03 4.31686E-02
     695  4.43018E+00 4.21664E-03 4.36796E-02
     696  4.43368E+00 4.31585E-03 4.42030E-02
     697  4.43718E+00 4.41876E-03 4.47394E-02
     698  4.44068E+00 4.52565E-03 4.52893E-02
     699  4.44418E+00 4.63652E-03 4.58529E-02
     700  4.44769E+00 4.75168E-03 4.64312E-02
     701  4.45119E+00 4.87135E-03 4.70243E-02
     702  4.45469E+00 4.99560E-03 4.76330E-02
     703  4.45819E+00 5.12517E-03 4.82581E-02
     704  4.46169E+00 5.25990E-03 4.89000E-02
     705  4.46520E+00 5.40014E-03 4.95594E-02
     706  4.46870E+00 5.54634E-03 5.02372E-02
     707  4.47220E+00 5.69886E-03 5.09342E-02
     708  4.47570E+00 5.85812E-03 5.16510E-02
     709  4.47920E+00 6.02410E-03 5.23884E-02
     710  4.48271E+00 6.19774E-03 5.31477E-02
     711  4.48621E+00 6.37920E-03 5.39296E-02
     712  4.48971E+00 6.56890E-03 5.47350E-02
     713  4.49321E+00 6.76764E-03 5.55652E-02
     714  4.49671E+00 6.97592E-03 5.64213E-02
     715  4.50021E+00 7.19419E-03 5.73046E-02
     716  4.50372E+00 7.42291E-03 5.82163E-02
     717  4.50722E+00 7.66346E-03 5.91580E-02
     718  4.51072E+00 7.91631E-03 6.01307E-02
     719  4.51422E+00 8.18194E-03 6.11362E-02
     720  4.51772E+00 8.46197E-03 6.21764E-02
     721  4.52123E+00 8.75749E-03 6.32531E-02
     722  4.52473E+00 9.06848E-03 6.43675E-02
     723  4.52823E+00 9.39733E-03 6.55223E-02
     724  4.53173E+00 9.74500E-03 6.67194E-02
     725  4.53523E+00 1.01125E-02 6.79610E-02
     726  4.53874E+00 1.05021E-02 6.92502E-02
     727  4.54224E+00 1.09154E-02 7.05891E-02
     728  4.54574E+00 1.13539E-02 7.19804E-02
     729  4.54924E+00 1.18204E-02 7.34280E-02
     730  4.55274E+00 1.23171E-02 7.49349E-02
     731  4.55624E+00 1.28458E-02 7.65045E-02
     732  4.55975E+00 1.34109E-02 7.81407E-02
     733  4.56325E+00 1.40150E-02 7.98479E-02
     734  4.56675E+00 1.46604E-02 8.16297E-02
     735  4.57025E+00 1.53537E-02 8.34927E-02
     736  4.57375E+00 1.60983E-02 8.54412E-02
     737  4.57726E+00 1.68985E-02 8.74809E-02
     738  4.58076E+00 1.77617E-02 8.96186E-02
     739  4.58426E+00 1.86934E-02 9.18614E-02
     740  4.58776E+00 1.97004E-02 9.42157E-02
     741  4.59126E+00 2.07932E-02 9.66897E-02
     742  4.59477E+00 2.19800E-02 9.92934E-02
     743  4.59827E+00 2.32702E-02 1.02034E-01
     744  4.60177E+00 2.46801E-02 1.04924E-01
     745  4.60527E+00 2.62224E-02 1.07975E-01
     746  4.60877E+00 2.79126E-02 1.11198E-01
     747  4.61228E+00 2.97712E-02 1.14608E-01
     748  4.61578E+00 3.18210E-02 1.18218E-01
     749  4.61928E+00 3.40898E-02 1.22045E-01
     750  4.62278E+00 3.66075E-02 1.26105E-01
     751  4.62628E+00 3.94067E-02 1.30416E-01
     752  4.62978E+00 4.25380E-02 1.34999E-01
     753  4.63329E+00 4.60491E-02 1.39873E-01
     754  4.63679E+00 4.99965E-02 1.45057E-01
     755  4.64029E+00 5.44634E-02 1.50573E-01
     756  4.64379E+00 5.95331E-02 1.56440E-01
     757  4.64729E+00 6.53057E-02 1.62672E-01
     758  4.65080E+00 7.19231E-02 1.69279E-01
     759  4.65430E+00 7.95362E-02 1.76259E-01
     760  4.65780E+00 8.83265E-02 1.83598E-01
     761  4.66130E+00 9.85435E-02 1.91252E-01
     762  4.66480E+00 1.10452E-01 1.99133E-01
     763  4.66831E+00 1.24397E-01 2.07106E-01
     764  4.67181E+00 1.40771E-01 2.14923E-01
     765  4.67531E+00 1.60041E-01 2.22205E-01
     766  4.67881E+00 1.82681E-01 2.28392E-01
     767  4.68231E+00 2.09215E-01 2.32602E-01
     768  4.68581E+00 2.40011E-01 2.33609E-01
     769  4.68932E+00 2.75129E-01 2.29738E-01
     770  4.69282E+00 3.14072E-01 2.18798E-01
     771  4.69632E+00 3.55268E-01 1.98328E-01
     772  4.69982E+00 3.95666E-01 1.66195E-01
     773  4.70332E+00 4.30685E-01 1.21373E-01
     774  4.70683E+00 4.54897E-01 6.53932E-02
     775  4.71033E+00 4.63651E-01 2.71118E-03
     776  4.71383E+00 4.55091E-01-6.00246E-02
     777  4.71733E+00 4.31023E-01-1.16129E-01
     778  4.72083E+00 3.96061E-01-1.61094E-01
     779  4.72434E+00 3.55654E-01-1.93396E-01
     780  4.72784E+00 3.14397E-01-2.13950E-01
     781  4.73134E+00 2.75391E-01-2.24971E-01
     782  4.73484E+00 2.40177E-01-2.28886E-01
     783  4.73834E+00 2.09324E-01-2.27882E-01
     784  4.74185E+00 1.82732E-01-2.23639E-01
     785  4.74535E+00 1.60037E-01-2.17432E-01
     786  4.74885E+00 1.40742E-01-2.10122E-01
     787  4.75235E+00 1.24344E-01-2.02271E-01
     788  4.75585E+00 1.10387E-01-1.94261E-01
     789  4.75935E+00 9.84720E-02-1.86350E-01
     790  4.76286E+00 8.82577E-02-1.78665E-01
     791  4.76636E+00 7.94665E-02-1.71297E-01
     792  4.76986E+00 7.18651E-02-1.64293E-01
     793  4.77336E+00 6.52608E-02-1.57658E-01
     794  4.77686E+00 5.94974E-02-1.51404E-01
     795  4.78037E+00 5.44416E-02-1.45520E-01
     796  4.78387E+00 4.99924E-02-1.39985E-01
     797  4.78737E+00 4.60577E-02-1.34784E-01
     798  4.79087E+00 4.25644E-02-1.29897E-01
     799  4.79437E+00 3.94519E-02-1.25298E-01
     800  4.79788E+00 3.66679E-02-1.20974E-01
     801  4.80138E+00 3.41680E-02-1.16905E-01
     802  4.80488E+00 3.19180E-02-1.13068E-01
     803  4.80838E+00 2.98844E-02-1.09448E-01
     804  4.81188E+00 2.80425E-02-1.06031E-01
     805  4.81538E+00 2.63694E-02-1.02800E-01
     806  4.81889E+00 2.48456E-02-9.97418E-02
     807  4.82239E+00 2.34532E-02-9.68458E-02
     808  4.82589E+00 2.21793E-02-9.40982E-02
     809  4.82939E+00 2.10102E-02-9.14893E-02
     810  4.83289E+00 1.99349E-02-8.90109E-02
     811  4.83640E+00 1.89449E-02-8.66520E-02
     812  4.83990E+00 1.80307E-02-8.44053E-02
     813  4.84340E+00 1.71842E-02-8.22643E-02
     814  4.84690E+00 1.64006E-02-8.02206E-02
     815  4.85040E+00 1.56725E-02-7.82701E-02
     816  4.85391E+00 1.49963E-02-7.64039E-02
     817  4.85741E+00 1.43664E-02-7.46183E-02
     818  4.86091E+00 1.37788E-02-7.29090E-02
     819  4.86441E+00 1.32306E-02-7.12702E-02
     820  4.86791E+00 1.27178E-02-6.96983E-02
     821  4.87142E+00 1.22373E-02-6.81899E-02
     822  4.87492E+00 1.17868E-02-6.67408E-02
     823  4.87842E+00 1.13643E-02-6.53473E-02
     824  4.88192E+00 1.09669E-02-6.40070E-02
     825  4.88542E+00 1.05933E-02-6.27162E-02
     826  4.88892E+00 1.02417E-02-6.14730E-02
     827  4.89243E+00 9.90902E-03-6.02750E-02
     828  4.89593E+00 9.59619E-03-5.91188E-02
     829  4.89943E+00 9.30080E-03-5.80031E-02
     830  4.90293E+00 9.02078E-03-5.69263E-02
     831  4.90643E+00 8.75661E-03-5.58852E-02
     832  4.90994E+00 8.50635E-03-5.48786E-02
     833  4.91344E+00 8.26873E-03-5.39056E-02
     834  4.91694E+00 8.04400E-03-5.29633E-02
     835  4.92044E+00 7.83036E-03-5.20506E-02
     836  4.92394E+00 7.62729E-03-5.11673E-02
     837  4.92745E+00 7.43462E-03-5.03104E-02
     838  4.93095E+00 7.25164E-03-4.94796E-02
     839  4.93445E+00 7.07690E-03-4.86742E-02
     840  4.93795E+00 6.91101E-03-4.78918E-02
     841  4.94145E+00 6.75303E-03-4.71323E-02
     842  4.94495E+00 6.60207E-03-4.63950E-02
     843  4.94846E+00 6.45848E-03-4.56780E-02
     844  4.95196E+00 6.32118E-03-4.49811E-02
     845  4.95546E+00 6.19020E-03-4.43035E-02
     846  4.95896E+00 6.06519E-03-4.36442E-02
     847  4.96246E+00 5.94572E-03-4.30026E-02
     848  4.96597E+00 5.83142E-03-4.23778E-02
     849  4.96947E+00 5.72240E-03-4.17692E-02
     850  4.97297E+00 5.61784E-03-4.11767E-02
     851  4.97647E+00 5.51792E-03-4.05989E-02
     852  4.97997E+00 5.42245E-03-4.00357E-02
     853  4.98348E+00 5.33064E-03-3.94866E-02
     854  4.98698E+00 5.24318E-03-3.89507E-02
     855  4.99048E+00 5.15910E-03-3.84280E-02
     856  4.99398E+00 5.07847E-03-3.79179E-02
     857  4.99748E+00 5.00142E-03-3.74195E-02
     858  5.00099E+00 4.92653E-03-3.69320E-02 1
     859  5.00449E+00 4.85362E-03-3.64540E-02
     860  5.00799E+00 4.78152E-03-3.59887E-02
     861  5.01149E+00 4.71356E-03-3.55325E-02
     862  5.01499E+00 4.64896E-03-3.50862E-02
     863  5.01849E+00 4.58697E-03-3.46500E-02
     864  5.02200E+00 4.52549E-03-3.42247E-02
     865  5.02550E+00 4.46838E-03-3.38073E-02
     866  5.02900E+00 4.41408E-03-3.33985E-02
     867  5.03250E+00 4.36142E-03-3.29989E-02
     868  5.03600E+00 4.30942E-03-3.26085E-02
     869  5.03951E+00 4.26140E-03-3.22251E-02
     870  5.04301E+00 4.21460E-03-3.18500E-02
     871  5.04651E+00 4.17018E-03-3.14821E-02
     872  5.05001E+00 4.12638E-03-3.11227E-02
     873  5.05351E+00 4.08547E-03-3.07695E-02
     874  5.05702E+00 4.04616E-03-3.04236E-02
     875  5.06052E+00 4.00893E-03-3.00840E-02
     876  5.06402E+00 3.97151E-03-2.97522E-02
     877  5.06752E+00 3.93676E-03-2.94263E-02
     878  5.07102E+00 3.90371E-03-2.91059E-02
     879  5.07452E+00 3.87216E-03-2.87920E-02
     880  5.07803E+00 3.84082E-03-2.84846E-02
     881  5.08153E+00 3.81164E-03-2.81822E-02
     882  5.08503E+00 3.78368E-03-2.78855E-02
     883  5.08853E+00 3.75749E-03-2.75940E-02
     884  5.09203E+00 3.73175E-03-2.73081E-02
     885  5.09554E+00 3.70652E-03-2.70276E-02
     886  5.09904E+00 3.68344E-03-2.67517E-02
     887  5.10254E+00 3.66125E-03-2.64806E-02
     888  5.10604E+00 3.64013E-03-2.62144E-02
     889  5.10954E+00 3.61843E-03-2.59537E-02
     890  5.11305E+00 3.59950E-03-2.56964E-02
     891  5.11655E+00 3.58088E-03-2.54438E-02
     892  5.12005E+00 3.56362E-03-2.51953E-02
     893  5.12355E+00 3.54587E-03-2.49519E-02
     894  5.12705E+00 3.53012E-03-2.47117E-02
     895  5.13056E+00 3.51518E-03-2.44757E-02
     896  5.13406E+00 3.50139E-03-2.42432E-02
     897  5.13756E+00 3.48662E-03-2.40157E-02
     898  5.14106E+00 3.47414E-03-2.37910E-02
     899  5.14456E+00 3.46195E-03-2.35702E-02
     900  5.14806E+00 3.45079E-03-2.33526E-02
     901  5.15157E+00 3.43936E-03-2.31390E-02
     902  5.15507E+00 3.42942E-03-2.29286E-02
     903  5.15857E+00 3.42000E-03-2.27213E-02
     904  5.16207E+00 3.41112E-03-2.25175E-02
     905  5.16557E+00 3.40208E-03-2.23171E-02
     906  5.16908E+00 3.39424E-03-2.21195E-02
     907  5.17258E+00 3.38738E-03-2.19248E-02
     908  5.17608E+00 3.38090E-03-2.17331E-02
     909  5.17958E+00 3.37498E-03-2.15444E-02
     910  5.18308E+00 3.36840E-03-2.13591E-02
     911  5.18659E+00 3.36332E-03-2.11760E-02
     912  5.19009E+00 3.35907E-03-2.09956E-02
     913  5.19359E+00 3.35488E-03-2.08181E-02
     914  5.19709E+00 3.35041E-03-2.06435E-02
     915  5.20059E+00 3.34727E-03-2.04710E-02
     916  5.20409E+00 3.34459E-03-2.03011E-02
     917  5.20760E+00 3.34226E-03-2.01336E-02
     918  5.21110E+00 3.33936E-03-1.99691E-02
     919  5.21460E+00 3.33806E-03-1.98065E-02
     920  5.21810E+00 3.33679E-03-1.96463E-02
     921  5.22160E+00 3.33615E-03-1.94881E-02
     922  5.22511E+00 3.33484E-03-1.93328E-02
     923  5.22861E+00 3.33449E-03-1.91794E-02
     924  5.23211E+00 3.33486E-03-1.90280E-02
     925  5.23561E+00 3.33542E-03-1.88788E-02
     926  5.23911E+00 3.33562E-03-1.87320E-02
     927  5.24262E+00 3.33671E-03-1.85868E-02
     928  5.24612E+00 3.33841E-03-1.84437E-02
     929  5.24962E+00 3.34006E-03-1.83027E-02
     930  5.25312E+00 3.34132E-03-1.81639E-02
     931  5.25662E+00 3.34371E-03-1.80266E-02
     932  5.26013E+00 3.34635E-03-1.78912E-02
     933  5.26363E+00 3.34927E-03-1.77576E-02
     934  5.26713E+00 3.35174E-03-1.76262E-02
     935  5.27063E+00 3.35497E-03-1.74963E-02
     936  5.27413E+00 3.35878E-03-1.73680E-02
     937  5.27763E+00 3.36239E-03-1.72415E-02
     938  5.28114E+00 3.36660E-03-1.71167E-02
     939  5.28464E+00 3.37038E-03-1.69938E-02
     940  5.28814E+00 3.37483E-03-1.68722E-02
     941  5.29164E+00 3.37947E-03-1.67523E-02
     942  5.29514E+00 3.38430E-03-1.66340E-02
     943  5.29865E+00 3.38878E-03-1.65175E-02
     944  5.30215E+00 3.39391E-03-1.64023E-02
     945  5.30565E+00 3.39950E-03-1.62886E-02
     946  5.30915E+00 3.40510E-03-1.61763E-02
     947  5.31265E+00 3.41014E-03-1.60658E-02
     948  5.31616E+00 3.41608E-03-1.59564E-02
     949  5.31966E+00 3.42240E-03-1.58484E-02
     950  5.32316E+00 3.42860E-03-1.57419E-02
     951  5.32666E+00 3.43440E-03-1.56369E-02
     952  5.33016E+00 3.44081E-03-1.55332E-02
     953  5.33366E+00 3.44759E-03-1.54306E-02
     954  5.33717E+00 3.45447E-03-1.53294E-02
     955  5.34067E+00 3.46089E-03-1.52297E-02
     956  5.34417E+00 3.46792E-03-1.51310E-02
     957  5.34767E+00 3.47508E-03-1.50337E-02
     958  5.35117E+00 3.48230E-03-1.49375E-02
     959  5.35468E+00 3.48909E-03-1.48429E-02
     960  5.35818E+00 3.49673E-03-1.47491E-02
     961  5.36168E+00 3.50437E-03-1.46564E-02
     962  5.36518E+00 3.51214E-03-1.45651E-02
     963  5.36868E+00 3.51924E-03-1.44750E-02
     964  5.37219E+00 3.52704E-03-1.43859E-02
     965  5.37569E+00 3.53521E-03-1.42979E-02
     966  5.37919E+00 3.54314E-03-1.42109E-02
     967  5.38269E+00 3.55137E-03-1.41251E-02
     968  5.38619E+00 3.55894E-03-1.40405E-02
     969  5.38970E+00 3.56730E-03-1.39568E-02
     970  5.39320E+00 3.57563E-03-1.38742E-02
     971  5.39670E+00 3.58397E-03-1.37924E-02
     972  5.40020E+00 3.59197E-03-1.37120E-02
     973  5.40370E+00 3.60041E-03-1.36324E-02
     974  5.40720E+00 3.60902E-03-1.35537E-02
     975  5.41071E+00 3.61753E-03-1.34760E-02
     976  5.41421E+00 3.62558E-03-1.33994E-02
     977  5.41771E+00 3.63428E-03-1.33236E-02
     978  5.42121E+00 3.64297E-03-1.32488E-02
     979  5.42471E+00 3.65192E-03-1.31748E-02
     980  5.42822E+00 3.66000E-03-1.31019E-02
     981  5.43172E+00 3.66898E-03-1.30297E-02
     982  5.43522E+00 3.67766E-03-1.29585E-02
     983  5.43872E+00 3.68662E-03-1.28881E-02
     984  5.44222E+00 3.69491E-03-1.28187E-02
     985  5.44573E+00 3.70386E-03-1.27500E-02
     986  5.44923E+00 3.71273E-03-1.26821E-02
     987  5.45273E+00 3.72177E-03-1.26151E-02
     988  5.45623E+00 3.73005E-03-1.25490E-02
     989  5.45973E+00 3.73906E-03-1.24836E-02
     990  5.46323E+00 3.74808E-03-1.24190E-02
     991  5.46674E+00 3.75686E-03-1.23551E-02
     992  5.47024E+00 3.76581E-03-1.22920E-02
     993  5.47374E+00 3.77435E-03-1.22298E-02
     994  5.47724E+00 3.78327E-03-1.21683E-02
     995  5.48074E+00 3.79208E-03-1.21075E-02
     996  5.48425E+00 3.80107E-03-1.20474E-02
     997  5.48775E+00 3.80926E-03-1.19882E-02
     998  5.49125E+00 3.81822E-03-1.19296E-02
     999  5.49475E+00 3.82708E-03-1.18716E-02
    1000  5.49825E+00 3.83589E-03-1.18144E-02
    1001  5.50176E+00 3.84508E-03-1.17568E-02
    1002  5.50526E+00 3.85385E-03-1.16990E-02
    1003  5.50876E+00 3.86221E-03-1.16422E-02
    1004  5.51226E+00 3.87101E-03-1.15858E-02
    1005  5.51576E+00 3.87931E-03-1.15304E-02
    1006  5.51927E+00 3.88818E-03-1.14752E-02
    1007  5.52277E+00 3.89668E-03-1.14211E-02
    1008  5.52627E+00 3.90552E-03-1.13673E-02
    1009  5.52977E+00 3.91380E-03-1.13145E-02
    1010  5.53327E+00 3.92253E-03-1.12620E-02
    1011  5.53677E+00 3.93083E-03-1.12105E-02
    1012  5.54028E+00 3.93969E-03-1.11592E-02
    1013  5.54378E+00 3.94839E-03-1.11086E-02
    1014  5.54728E+00 3.95677E-03-1.10589E-02
    1015  5.55078E+00 3.96536E-03-1.10095E-02
    1016  5.55428E+00 3.97363E-03-1.09610E-02
    1017  5.55779E+00 3.98225E-03-1.09127E-02
    1018  5.56129E+00 3.99047E-03-1.08654E-02
    1019  5.56479E+00 3.99897E-03-1.08185E-02
    1020  5.56829E+00 4.00700E-03-1.07723E-02
    1021  5.57179E+00 4.01557E-03-1.07264E-02
