*** NEC ADMITTANCE FILE
 Fan antenna impedance.  Symbols a 1 Mhz increments                                                                    
            F (MHz)        ZR          ZI
     117  2.40619E+00 2.33137E-05 4.74965E-03
     118  2.40969E+00 2.34876E-05 4.76052E-03
     119  2.41320E+00 2.36629E-05 4.77142E-03
     120  2.41670E+00 2.38392E-05 4.78234E-03
     121  2.42020E+00 2.40169E-05 4.79329E-03
     122  2.42370E+00 2.41958E-05 4.80426E-03
     123  2.42720E+00 2.43758E-05 4.81526E-03
     124  2.43070E+00 2.45570E-05 4.82628E-03
     125  2.43421E+00 2.47394E-05 4.83733E-03
     126  2.43771E+00 2.49232E-05 4.84840E-03
     127  2.44121E+00 2.51081E-05 4.85950E-03
     128  2.44471E+00 2.52943E-05 4.87063E-03
     129  2.44821E+00 2.54818E-05 4.88178E-03
     130  2.45171E+00 2.56706E-05 4.89296E-03
     131  2.45521E+00 2.58607E-05 4.90417E-03
     132  2.45872E+00 2.60521E-05 4.91540E-03
     133  2.46222E+00 2.62447E-05 4.92666E-03
     134  2.46572E+00 2.64387E-05 4.93795E-03
     135  2.46922E+00 2.66339E-05 4.94926E-03
     136  2.47272E+00 2.68305E-05 4.96060E-03
     137  2.47622E+00 2.70284E-05 4.97197E-03
     138  2.47973E+00 2.72278E-05 4.98337E-03
     139  2.48323E+00 2.74285E-05 4.99479E-03
     140  2.48673E+00 2.76304E-05 5.00624E-03
     141  2.49023E+00 2.78338E-05 5.01772E-03
     142  2.49373E+00 2.80386E-05 5.02923E-03
     143  2.49723E+00 2.82447E-05 5.04076E-03
     144  2.50074E+00 2.84522E-05 5.05233E-03
     145  2.50424E+00 2.86610E-05 5.06392E-03
     146  2.50774E+00 2.88714E-05 5.07554E-03
     147  2.51124E+00 2.90833E-05 5.08719E-03
     148  2.51474E+00 2.92966E-05 5.09887E-03
     149  2.51824E+00 2.95112E-05 5.11057E-03
     150  2.52175E+00 2.97274E-05 5.12231E-03
     151  2.52525E+00 2.99450E-05 5.13407E-03
     152  2.52875E+00 3.01643E-05 5.14587E-03
     153  2.53225E+00 3.03847E-05 5.15769E-03
     154  2.53575E+00 3.06066E-05 5.16955E-03
     155  2.53925E+00 3.08304E-05 5.18143E-03
     156  2.54276E+00 3.10555E-05 5.19334E-03
     157  2.54626E+00 3.12821E-05 5.20528E-03
     158  2.54976E+00 3.15103E-05 5.21726E-03
     159  2.55326E+00 3.17400E-05 5.22926E-03
     160  2.55676E+00 3.19713E-05 5.24130E-03
     161  2.56026E+00 3.22042E-05 5.25336E-03
     162  2.56377E+00 3.24387E-05 5.26546E-03
     163  2.56727E+00 3.26747E-05 5.27758E-03
     164  2.57077E+00 3.29124E-05 5.28974E-03
     165  2.57427E+00 3.31517E-05 5.30193E-03
     166  2.57777E+00 3.33925E-05 5.31415E-03
     167  2.58127E+00 3.36351E-05 5.32640E-03
     168  2.58478E+00 3.38795E-05 5.33869E-03
     169  2.58828E+00 3.41253E-05 5.35100E-03
     170  2.59178E+00 3.43728E-05 5.36335E-03
     171  2.59528E+00 3.46219E-05 5.37573E-03
     172  2.59878E+00 3.48729E-05 5.38814E-03
     173  2.60228E+00 3.51253E-05 5.40059E-03
     174  2.60579E+00 3.53798E-05 5.41307E-03
     175  2.60929E+00 3.56359E-05 5.42558E-03
     176  2.61279E+00 3.58936E-05 5.43812E-03
     177  2.61629E+00 3.61532E-05 5.45070E-03
     178  2.61979E+00 3.64144E-05 5.46330E-03
     179  2.62329E+00 3.66776E-05 5.47595E-03
     180  2.62680E+00 3.69426E-05 5.48863E-03
     181  2.63030E+00 3.72092E-05 5.50134E-03
     182  2.63380E+00 3.74778E-05 5.51408E-03
     183  2.63730E+00 3.77481E-05 5.52686E-03
     184  2.64080E+00 3.80204E-05 5.53967E-03
     185  2.64430E+00 3.82944E-05 5.55252E-03
     186  2.64781E+00 3.85705E-05 5.56540E-03
     187  2.65131E+00 3.88480E-05 5.57832E-03
     188  2.65481E+00 3.91278E-05 5.59127E-03
     189  2.65831E+00 3.94092E-05 5.60426E-03
     190  2.66181E+00 3.96929E-05 5.61728E-03
     191  2.66531E+00 3.99786E-05 5.63034E-03
     192  2.66882E+00 4.02658E-05 5.64344E-03
     193  2.67232E+00 4.05552E-05 5.65657E-03
     194  2.67582E+00 4.08465E-05 5.66973E-03
     195  2.67932E+00 4.11400E-05 5.68294E-03
     196  2.68282E+00 4.14353E-05 5.69618E-03
     197  2.68632E+00 4.17327E-05 5.70945E-03
     198  2.68983E+00 4.20321E-05 5.72277E-03
     199  2.69333E+00 4.23337E-05 5.73612E-03
     200  2.69683E+00 4.26371E-05 5.74950E-03
     201  2.70033E+00 4.29426E-05 5.76293E-03
     202  2.70383E+00 4.32504E-05 5.77639E-03
     203  2.70733E+00 4.35599E-05 5.78989E-03
     204  2.71084E+00 4.38719E-05 5.80343E-03
     205  2.71434E+00 4.41860E-05 5.81701E-03
     206  2.71784E+00 4.45020E-05 5.83062E-03
     207  2.72134E+00 4.48206E-05 5.84428E-03
     208  2.72484E+00 4.51412E-05 5.85797E-03
     209  2.72834E+00 4.54640E-05 5.87170E-03
     210  2.73185E+00 4.57888E-05 5.88547E-03
     211  2.73535E+00 4.61161E-05 5.89928E-03
     212  2.73885E+00 4.64454E-05 5.91313E-03
     213  2.74235E+00 4.67772E-05 5.92702E-03
     214  2.74585E+00 4.71109E-05 5.94095E-03
     215  2.74935E+00 4.74474E-05 5.95492E-03
     216  2.75286E+00 4.77858E-05 5.96893E-03
     217  2.75636E+00 4.81269E-05 5.98298E-03
     218  2.75986E+00 4.84701E-05 5.99708E-03
     219  2.76336E+00 4.88158E-05 6.01121E-03
     220  2.76686E+00 4.91637E-05 6.02538E-03
     221  2.77036E+00 4.95141E-05 6.03960E-03
     222  2.77387E+00 4.98668E-05 6.05386E-03
     223  2.77737E+00 5.02223E-05 6.06816E-03
     224  2.78087E+00 5.05799E-05 6.08250E-03
     225  2.78437E+00 5.09399E-05 6.09689E-03
     226  2.78787E+00 5.13028E-05 6.11132E-03
     227  2.79137E+00 5.16678E-05 6.12579E-03
     228  2.79488E+00 5.20353E-05 6.14030E-03
     229  2.79838E+00 5.24056E-05 6.15486E-03
     230  2.80188E+00 5.27784E-05 6.16946E-03
     231  2.80538E+00 5.31533E-05 6.18411E-03
     232  2.80888E+00 5.35312E-05 6.19880E-03
     233  2.81238E+00 5.39118E-05 6.21353E-03
     234  2.81589E+00 5.42951E-05 6.22831E-03
     235  2.81939E+00 5.46808E-05 6.24313E-03
     236  2.82289E+00 5.50694E-05 6.25800E-03
     237  2.82639E+00 5.54607E-05 6.27292E-03
     238  2.82989E+00 5.58547E-05 6.28788E-03
     239  2.83339E+00 5.62512E-05 6.30288E-03
     240  2.83690E+00 5.66504E-05 6.31793E-03
     241  2.84040E+00 5.70524E-05 6.33303E-03
     242  2.84390E+00 5.74575E-05 6.34818E-03
     243  2.84740E+00 5.78649E-05 6.36337E-03
     244  2.85090E+00 5.82757E-05 6.37861E-03
     245  2.85440E+00 5.86890E-05 6.39389E-03
     246  2.85791E+00 5.91056E-05 6.40923E-03
     247  2.86141E+00 5.95248E-05 6.42461E-03
     248  2.86491E+00 5.99467E-05 6.44004E-03
     249  2.86841E+00 6.03718E-05 6.45552E-03
     250  2.87191E+00 6.07998E-05 6.47105E-03
     251  2.87541E+00 6.12304E-05 6.48662E-03
     252  2.87892E+00 6.16648E-05 6.50225E-03
     253  2.88242E+00 6.21021E-05 6.51793E-03
     254  2.88592E+00 6.25418E-05 6.53365E-03
     255  2.88942E+00 6.29848E-05 6.54943E-03
     256  2.89292E+00 6.34311E-05 6.56525E-03
     257  2.89642E+00 6.38805E-05 6.58113E-03
     258  2.89992E+00 6.43331E-05 6.59706E-03
     259  2.90343E+00 6.47889E-05 6.61304E-03
     260  2.90693E+00 6.52476E-05 6.62907E-03
     261  2.91043E+00 6.57095E-05 6.64515E-03
     262  2.91393E+00 6.61748E-05 6.66128E-03
     263  2.91743E+00 6.66436E-05 6.67747E-03
     264  2.92093E+00 6.71156E-05 6.69371E-03
     265  2.92444E+00 6.75910E-05 6.71001E-03
     266  2.92794E+00 6.80692E-05 6.72635E-03
     267  2.93144E+00 6.85511E-05 6.74276E-03
     268  2.93494E+00 6.90365E-05 6.75921E-03
     269  2.93844E+00 6.95249E-05 6.77572E-03
     270  2.94194E+00 7.00172E-05 6.79228E-03
     271  2.94545E+00 7.05127E-05 6.80890E-03
     272  2.94895E+00 7.10119E-05 6.82558E-03
     273  2.95245E+00 7.15144E-05 6.84231E-03
     274  2.95595E+00 7.20209E-05 6.85909E-03
     275  2.95945E+00 7.25306E-05 6.87593E-03
     276  2.96295E+00 7.30441E-05 6.89283E-03
     277  2.96646E+00 7.35613E-05 6.90979E-03
