# co_eff.asc
# Efficiency: eta = P_rad / P_in
# Frequency               P_in                    P_rad                   eta
  0.830000000000000E+001  0.000000000000000E+000  0.359419326604162E-004                     INF
  0.840000000000000E+001  0.000000000000000E+000  0.394196914511467E-004                     INF
  0.850000000000000E+001  0.000000000000000E+000  0.432729407499113E-004                     INF
  0.860000000000000E+001  0.000000000000000E+000  0.475499831171122E-004                     INF
  0.870000000000000E+001  0.000000000000000E+000  0.523066870527836E-004                     INF
  0.880000000000000E+001  0.000000000000000E+000  0.576079141177926E-004                     INF
  0.890000000000000E+001  0.000000000000000E+000  0.635293019761891E-004                     INF
  0.900000000000000E+001  0.000000000000000E+000  0.701593351619396E-004                     INF
  0.910000000000000E+001  0.000000000000000E+000  0.776020832889790E-004                     INF
  0.920000000000000E+001  0.000000000000000E+000  0.859805420511941E-004                     INF
  0.930000000000000E+001  0.000000000000000E+000  0.954408116626040E-004                     INF
  0.940000000000000E+001  0.000000000000000E+000  0.106157398513869E-003                     INF
  0.950000000000000E+001  0.000000000000000E+000  0.118339976055134E-003                     INF
  0.960000000000000E+001  0.000000000000000E+000  0.132242077005502E-003                     INF
  0.970000000000000E+001  0.000000000000000E+000  0.148172367534928E-003                     INF
  0.980000000000000E+001  0.000000000000000E+000  0.166509409963683E-003                     INF
  0.990000000000000E+001  0.000000000000000E+000  0.187721190209138E-003                     INF
  0.100000000000000E+002  0.000000000000000E+000  0.212391225139437E-003                     INF
  0.101000000000000E+002  0.000000000000000E+000  0.241253867297051E-003                     INF
  0.102000000000000E+002  0.000000000000000E+000  0.275242651550523E-003                     INF
  0.103000000000000E+002  0.000000000000000E+000  0.315557327997912E-003                     INF
  0.104000000000000E+002  0.000000000000000E+000  0.363758163399039E-003                     INF
  0.105000000000000E+002  0.000000000000000E+000  0.421900907975574E-003                     INF
  0.106000000000000E+002  0.000000000000000E+000  0.492731470636306E-003                     INF
  0.107000000000000E+002  0.000000000000000E+000  0.579973513092534E-003                     INF
  0.108000000000000E+002  0.000000000000000E+000  0.688759988594084E-003                     INF
  0.109000000000000E+002  0.000000000000000E+000  0.826288241246133E-003                     INF
  0.110000000000000E+002  0.000000000000000E+000  0.100281891938275E-002                     INF
  0.111000000000000E+002  0.000000000000000E+000  0.123324415810101E-002                     INF
  0.112000000000000E+002  0.000000000000000E+000  0.153945505457539E-002                     INF
  0.113000000000000E+002  0.000000000000000E+000  0.195388800762995E-002                     INF
  0.114000000000000E+002  0.000000000000000E+000  0.252416473184953E-002                     INF
  0.115000000000000E+002  0.000000000000000E+000  0.331715621901012E-002                     INF
  0.116000000000000E+002  0.000000000000000E+000  0.441528793249425E-002                     INF
  0.117000000000000E+002  0.000000000000000E+000  0.588599830231264E-002                     INF
  0.118000000000000E+002  0.000000000000000E+000  0.770048217541488E-002                     INF
  0.119000000000000E+002  0.000000000000000E+000  0.963706902326281E-002                     INF
  0.120000000000000E+002  0.000000000000000E+000  0.113034435590255E-001                     INF
  0.121000000000000E+002  0.000000000000000E+000  0.122596153262459E-001                     INF
  0.122000000000000E+002  0.000000000000000E+000  0.122108636190962E-001                     INF
  0.123000000000000E+002  0.000000000000000E+000  0.114079254401044E-001                     INF
  0.124000000000000E+002  0.000000000000000E+000  0.105648895190200E-001                     INF
  0.125000000000000E+002  0.000000000000000E+000  0.103113893949253E-001                     INF
  0.126000000000000E+002  0.000000000000000E+000  0.110556921280035E-001                     INF
  0.127000000000000E+002  0.000000000000000E+000  0.128966026315229E-001                     INF
  0.128000000000000E+002  0.000000000000000E+000  0.150940943467950E-001                     INF
  0.129000000000000E+002  0.000000000000000E+000  0.159079120574143E-001                     INF
  0.130000000000000E+002  0.000000000000000E+000  0.142669517694305E-001                     INF
  0.131000000000000E+002  0.000000000000000E+000  0.113269781604638E-001                     INF
  0.132000000000000E+002  0.000000000000000E+000  0.857918028236529E-002                     INF
  0.133000000000000E+002  0.000000000000000E+000  0.651090912330567E-002                     INF
  0.134000000000000E+002  0.000000000000000E+000  0.505063840974401E-002                     INF
  0.135000000000000E+002  0.000000000000000E+000  0.402365878435438E-002                     INF
  0.136000000000000E+002  0.000000000000000E+000  0.328819482812653E-002                     INF
  0.137000000000000E+002  0.000000000000000E+000  0.274830844968695E-002                     INF
  0.138000000000000E+002  0.000000000000000E+000  0.234190939150024E-002                     INF
  0.139000000000000E+002  0.000000000000000E+000  0.202875120999056E-002                     INF
  0.140000000000000E+002  0.000000000000000E+000  0.178229423940405E-002                     INF
  0.141000000000000E+002  0.000000000000000E+000  0.158466191317058E-002                     INF
  0.142000000000000E+002  0.000000000000000E+000  0.142355623636895E-002                     INF
  0.143000000000000E+002  0.000000000000000E+000  0.129031381345264E-002                     INF
  0.144000000000000E+002  0.000000000000000E+000  0.117870261228051E-002                     INF
  0.145000000000000E+002  0.000000000000000E+000  0.108414768955086E-002                     INF
  0.146000000000000E+002  0.000000000000000E+000  0.100322816620783E-002                     INF
  0.147000000000000E+002  0.000000000000000E+000  0.933345667694120E-003                     INF
  0.148000000000000E+002  0.000000000000000E+000  0.872498298121410E-003                     INF
  0.149000000000000E+002  0.000000000000000E+000  0.819120695935939E-003                     INF
  0.150000000000000E+002  0.000000000000000E+000  0.771972994155570E-003                     INF
  0.151000000000000E+002  0.000000000000000E+000  0.730061969172379E-003                     INF
  0.152000000000000E+002  0.000000000000000E+000  0.692582304635436E-003                     INF
  0.153000000000000E+002  0.000000000000000E+000  0.658873968054798E-003                     INF
  0.154000000000000E+002  0.000000000000000E+000  0.628392181875045E-003                     INF
  0.155000000000000E+002  0.000000000000000E+000  0.600680013620179E-003                     INF
  0.156000000000000E+002  0.000000000000000E+000  0.575348176568868E-003                     INF
  0.157000000000000E+002  0.000000000000000E+000  0.552067709710955E-003                     INF
  0.158000000000000E+002  0.000000000000000E+000  0.530551144992586E-003                     INF
  0.159000000000000E+002  0.000000000000000E+000  0.510547312706697E-003                     INF
  0.160000000000000E+002  0.000000000000000E+000  0.491834526745428E-003                     INF
  0.161000000000000E+002  0.000000000000000E+000  0.474214886333185E-003                     INF
  0.162000000000000E+002  0.000000000000000E+000  0.457510027663258E-003                     INF
  0.163000000000000E+002  0.000000000000000E+000  0.441550792840006E-003                     INF
  0.164000000000000E+002  0.000000000000000E+000  0.426181511689107E-003                     INF
  0.165000000000000E+002  0.000000000000000E+000  0.411258042815735E-003                     INF
